disease_id,diseasesVariables_id,no,probablyNot,iDontKnow,propablyYes,yes 
1,1,0,0,0,0,1
1,2,0,0,0,0,1
1,3,0,0,0,0,1
1,4,0,0,0,0,1
1,5,0,0,0,0,1
1,6,0,0,0,0,1
1,7,0,0,0,0,1
1,8,0,0,0,0,1
1,9,0,0,1,0,0
1,10,0,0,1,0,0
1,11,1,0,0,0,0
1,12,0,0,1,0,0
1,13,0,0,0,0,1
1,14,0,0,1,0,0
1,15,0,0,1,0,0
1,16,0,0,1,0,0
1,17,0,0,1,0,0
1,18,0,0,1,0,0
1,19,0,0,1,0,0
1,20,0,0,1,0,0
1,21,0,0,1,0,0
1,22,0,0,1,0,0
1,23,0,0,1,0,0
1,24,0,0,0,0,1
1,25,0,0,1,0,0
1,27,0,0,1,0,0
1,26,0,0,1,0,0
1,28,0,0,1,0,0
1,29,0,1,1,1,1
1,30,0,0,1,0,0
1,31,0,0,0,0,1
1,32,0,0,1,0,0
1,33,0,0,1,0,0
1,34,0,0,1,0,0
1,35,1,1,0,0,0
1,36,0,0,1,0,0
2,1,0,0,0,0,1
2,2,0,0,0,0,1
2,3,0,0,0,0,1
2,4,0,0,0,0,1
2,5,0,0,0,0,1
2,6,0,0,0,0,1
2,7,0,0,1,0,0
2,8,0,0,1,0,0
2,9,0,0,1,0,0
2,10,0,0,1,0,0
2,11,0,0,1,0,0
2,12,0,0,1,0,0
2,13,0,0,1,0,0
2,14,0,0,1,0,0
2,15,0,0,1,0,0
2,16,0,0,1,0,0
2,17,0,0,1,0,0
2,18,0,0,1,0,0
2,19,0,0,1,0,0
2,20,0,0,1,0,0
2,21,0,0,1,0,0
2,22,0,0,1,0,0
2,23,0,0,1,0,0
2,24,0,0,0,0,1
2,25,0,0,1,0,0
2,27,0,0,1,0,0
2,26,0,0,1,0,0
2,28,0,0,0,0,1
2,29,0,1,1,1,1
2,30,0,0,1,0,0
2,31,0,0,1,0,0
2,32,0,0,1,0,0
2,33,0,0,1,0,0
2,34,0,0,1,0,0
2,35,0,0,1,0,0
2,36,0,0,1,0,0
3,1,0,0,0,0,1
3,2,0,0,1,0,0
3,3,0,0,1,0,0
3,4,0,0,1,0,0
3,5,0,0,0,0,1
3,6,1,0,0,0,0
3,7,1,0,0,0,0
3,8,0,0,0,0,1
3,9,0,0,0,0,1
3,10,0,0,1,0,0
3,11,0,0,0,0,1
3,12,0,0,1,0,0
3,13,0,0,0,0,1
3,14,0,0,0,0,1
